"id";"name";"round";"sensor_id";"label_id";"farm_id";"labeled_by";"earmark_id";"collar_id";"age";"year_of_birth";"lactation";"age_of_first_fecundity";"interval_between_calvings";"has_horns";"has_nose_ring";"avg_lifetime_production";"avg_daily_lifetime_production";"last_calving";"planned_calving";"bcs";"bcs_measurement_date";"lameness_score";"lameness_score_measurement_date"
63;"Hanna";"KW2";5;5;"Kirchweihdach";"Lara Schmeling";"DE0947746944";759;6;2012;4;25;332;"no";"no";7132;11.1;"2018-01-25";"2019-01-16";3.5;"2019-03-15";0;"2019-03-15"
64;"Urea";"KW2";6;6;"Kirchweihdach";"Lara Schmeling";"DE0948755796";781;5;2013;3;25.9;319;"yes";"no";4882;8.2;"2017-12-11";"";3.25;"2019-03-15";0;"2019-03-15"
65;"Utalia";"KW2";1;1;"Kirchweihdach";"Lara Schmeling";"DE0948755808";784;5;2013;3;26.4;328;"partially";"yes";5230;8.8;"2018-02-26";"";-1;"";;""
66;"Ursula";"KW2";8;8;"Kirchweihdach";"Lara Schmeling";"DE0948755840";790;4;2014;2;26.5;401;"no";"no";6811;6.1;"2018-01-29";"2019-01-16";3.5;"2019-03-15";0;"2019-03-15"
67;"Urmina";"KW2";3;3;"Kirchweihdach";"Lara Schmeling";"DE0948755802";782;5;2013;3;25.6;329;"yes";"no";5347;8.4;"2017-12-17";"";3.5;"2019-03-15";1;"2019-03-15"
68;"Lilith";"KW2";10;10;"Kirchweihdach";"Lara Schmeling";"DE0948755810";775;5;2013;3;23.6;353;"partially";"no";6338;10.6;"2018-01-22";"2019-01-18";3;"2019-03-15";0;"2019-03-15"
69;"Ubaldin";"KW2";2;2;"Kirchweihdach";"Lara Schmeling";"DE0945596589";721;7;2011;6;24.5;353;"no";"no";7829;15;"2017-11-05";"";3;"2019-03-15";0;"2019-03-15"
70;"Helgi";"KW2";4;4;"Kirchweihdach";"Lara Schmeling";"DE0948755788";766;5;2013;3;23.9;400;"no";"yes";6860;10.2;"2017-11-05";"2018-12-10";3.5;"2019-03-15";0;"2019-03-15"
71;"Udine";"KW2";7;7;"Kirchweihdach";"Lara Schmeling";"DE0947746933";752;6;2012;3;24.7;401;"no";"no";7505;11.9;"2018-02-21";"";2.5;"";0;""
21;"Nadl";"HB2";4;4;"Hackl-Buch";"Lara Schmeling";"DE0948192545";400;6;2013;4;26;629;"no";"no";7817;13.4;"2018-11-06";"";4;"";0;""
73;"Milupa";"KK1";14;2;"Kraiburg-Kaindl";"Lara Schmeling";"DE0946937822";299;7;2012;5;23.9;398;"no";"no";9263;14.3;"";"";3;"2020-08-03";0;"2020-08-03"
74;"Regina";"KK1";15;3;"Kraiburg-Kaindl";"Lara Schmeling";"DE0946937814";304;7;2012;5;25.1;366;"no";"no";8642;13.7;"";"";3.5;"2020-08-03";0;"2020-08-03"
75;"Ronja";"KK1";4;4;"Kraiburg-Kaindl";"Lara Schmeling";"DE0947636073";307;7;2012;5;24;385;"no";"no";10705;15.6;"";"";3.5;"2020-08-03";1;"2020-08-03"
76;"Lady";"KK1";5;5;"Kraiburg-Kaindl";"Lara Schmeling";"DE0947636086";313;6;2013;4;24.1;383;"no";"yes";10927;14.7;"";"";5;"2020-08-03";0;"2020-08-03"
77;"Muki";"KK1";6;6;"Kraiburg-Kaindl";"Lara Schmeling";"DE0948766010";317;6;2013;4;23;370;"no";"no";9654;13.6;"";"";3.5;"2020-08-03";0;"2020-08-03"
78;"Adele";"KK1";7;7;"Kraiburg-Kaindl";"Lara Schmeling";"DE0947636095";319;6;2013;4;24.5;361;"no";"no";8693;14.1;"";"";3.5;"2020-08-03";0;"2020-08-03"
79;"Miley";"KK1";9;9;"Kraiburg-Kaindl";"Lara Schmeling";"DE0948766005";331;5;2014;3;24.3;385;"";"";8111;10.6;"";"";3.5;"2020-08-03";0;"2020-08-03"
80;"Hanni";"KK1";10;10;"Kraiburg-Kaindl";"Lara Schmeling";"DE0949656386";336;5;2014;3;23.9;377;"";"no";8752;11.2;"";"";3.5;"2020-08-03";0;"2020-08-03"
81;"Arella";"KK1";12;12;"Kraiburg-Kaindl";"Lara Schmeling";"DE0949656378";341;5;2014;3;24.6;350;"no";"no";7672;9.3;"";"";4;"2020-08-03";0;"2020-08-03"
